date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:41:25	70534/70534	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:25%20GMT	https://htmldemo.net/facon/facon/img/products/5.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/products/5.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:26	79400/79400	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:26%20GMT	https://htmldemo.net/facon/facon/img/products/7.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/products/7.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:26	58688/58688	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:26%20GMT	https://htmldemo.net/facon/facon/img/products/6.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/products/6.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:26	27019/27019	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:26%20GMT	https://htmldemo.net/facon/facon/img/blog/b-1.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/blog/b-1.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:27	44745/44745	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:27%20GMT	https://htmldemo.net/facon/facon/img/blog/b-2.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/blog/b-2.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:28	8162/8162	---MC-	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202023%2001:41:27%20GMT	https://htmldemo.net/facon/facon/img/brand-logo/1.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/brand-logo/1.png	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:28	7390/7390	---MC-	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202023%2001:41:29%20GMT	https://htmldemo.net/facon/facon/img/brand-logo/2.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/brand-logo/2.png	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:28	8972/8972	---MC-	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202023%2001:41:29%20GMT	https://htmldemo.net/facon/facon/img/brand-logo/3.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/brand-logo/3.png	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:29	7490/7490	---MC-	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202023%2001:41:29%20GMT	https://htmldemo.net/facon/facon/img/brand-logo/4.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/brand-logo/4.png	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:29	9543/9543	---MC-	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202023%2001:41:29%20GMT	https://htmldemo.net/facon/facon/img/brand-logo/5.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/brand-logo/5.png	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:29	3489/3489	---MC-	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202023%2001:41:30%20GMT	https://htmldemo.net/facon/facon/img/cards/discover.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/cards/discover.png	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:30	3732/3732	---MC-	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202023%2001:41:30%20GMT	https://htmldemo.net/facon/facon/img/cards/express.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/cards/express.png	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:30	3834/3834	---MC-	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202023%2001:41:30%20GMT	https://htmldemo.net/facon/facon/img/cards/master-card.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/cards/master-card.png	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:30	3086/3086	---MC-	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202023%2001:41:31%20GMT	https://htmldemo.net/facon/facon/img/cards/paypal.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/cards/paypal.png	(from https://htmldemo.net/facon/facon/index-4.html)
